transaction_id,user_id,amount,currency_from,currency_to,rate,created_at,fee_amount
1,33,53455.44,PLN,CHF,0.21788,2023-01-23 03:07:25,281.39
2,16,3331.03,CHF,CAD,1.548768,2023-01-24 06:11:37,16.99
3,3,85994.89,SEK,PLN,0.380707,2023-01-24 21:25:46,431.05
4,49,307197.04,JPY,CHF,0.005821,2023-01-31 19:47:37,1726.61
5,12,142501.71,NOK,CAD,0.12639,2023-02-03 02:46:14,739.39
6,57,11394.53,GBP,AUD,1.918364,2023-02-13 16:32:38,55.75
7,23,9891.82,USD,JPY,152.022241,2023-02-15 16:45:41,50.69
8,69,12665.3,AUD,CHF,0.581213,2023-02-17 01:21:43,71.35
9,15,57315.49,SEK,PLN,0.379792,2023-02-17 12:06:17,280.56
10,40,2887.09,PLN,NOK,2.673828,2023-02-19 22:09:28,15.09
11,36,36722.15,PLN,SEK,2.622807,2023-02-21 18:31:17,192.66
12,70,10705.59,AUD,SEK,6.913932,2023-02-22 09:44:36,56.37
13,38,117696.39,NOK,PLN,0.373134,2023-02-22 11:28:55,589.62
14,59,10091.19,EUR,CHF,0.954677,2023-02-22 12:41:00,53.36
15,81,16890.19,AUD,NOK,7.063711,2023-02-24 11:17:31,86.29
16,51,1238.23,CHF,SEK,11.93537,2023-02-24 12:30:40,6.06
17,51,12694.63,GBP,USD,1.270888,2023-03-04 16:58:14,55.48
18,63,10032.25,EUR,USD,1.088651,2023-03-05 09:11:20,44.16
19,94,9285.59,CHF,USD,1.142434,2023-03-08 00:50:12,51.45
20,50,6754.04,GBP,CAD,1.717976,2023-03-13 13:28:04,31.44
21,26,24597.38,AUD,PLN,2.636941,2023-03-17 02:50:09,105.82
22,88,7657.39,EUR,SEK,11.341083,2023-03-20 13:44:05,35.58
23,122,8877.42,NOK,CAD,0.126163,2023-03-21 01:18:27,49.47
24,62,2435718.99,JPY,PLN,0.026406,2023-03-22 03:32:58,13533.08
25,75,110087.43,SEK,EUR,0.087783,2023-03-22 20:34:13,487.62
26,56,50246.08,SEK,GBP,0.075389,2023-03-24 10:16:03,259.1
27,25,5582.49,EUR,USD,1.087045,2023-03-24 10:16:48,27.63
28,17,2105.53,USD,GBP,0.780822,2023-03-25 01:33:12,9.09
29,81,72314.74,SEK,PLN,0.380073,2023-03-25 01:34:56,355.73
30,159,39133.6,PLN,AUD,0.377568,2023-03-26 10:08:10,177.98
31,26,1973291.85,JPY,USD,0.006653,2023-03-26 19:11:14,10555.88
32,27,789302.28,JPY,SEK,0.069074,2023-03-27 00:33:24,3479.01
33,145,13368.85,CHF,EUR,1.045906,2023-03-27 15:18:17,76.28
34,41,123168.62,SEK,CAD,0.130344,2023-03-28 14:00:27,596.84
35,17,2454.67,GBP,CHF,1.114875,2023-03-28 19:48:55,13.43
36,84,92790.84,NOK,CHF,0.082174,2023-03-30 13:42:09,511.92
37,109,130380.92,JPY,EUR,0.006101,2023-03-31 04:17:35,688.95
38,163,67153.85,PLN,EUR,0.230522,2023-04-01 22:30:35,340.19
39,24,10526.17,AUD,CAD,0.902771,2023-04-02 08:55:56,52.52
40,163,73910.16,NOK,PLN,0.374574,2023-04-03 07:47:16,419.33
41,77,63047.2,PLN,USD,0.249722,2023-04-03 09:53:30,358.35
42,33,11143.46,EUR,CAD,1.47103,2023-04-03 13:46:26,52.43
43,117,16176.39,AUD,JPY,99.68184,2023-04-06 11:18:34,75.72
44,116,2115749.57,JPY,EUR,0.006073,2023-04-07 17:24:41,11687.98
45,152,6176.86,AUD,JPY,99.846772,2023-04-10 00:12:13,33.29
46,22,11431.47,EUR,USD,1.090551,2023-04-10 12:01:09,52.64
47,34,6122.96,GBP,USD,1.27074,2023-04-10 13:31:36,30.14
48,93,8866.62,PLN,JPY,37.578171,2023-04-10 23:36:22,48.28
49,184,1188.39,USD,GBP,0.782539,2023-04-11 02:11:03,6.49
50,109,10312.02,EUR,AUD,1.640417,2023-04-13 04:48:59,56.92
51,189,10445.95,CHF,AUD,1.71762,2023-04-14 20:11:41,57.26
52,84,6203.63,EUR,SEK,11.331958,2023-04-16 16:09:11,29.33
53,131,10183.93,NOK,CAD,0.126928,2023-04-16 22:57:10,54.32
54,8,61849.05,SEK,NOK,1.018483,2023-04-17 12:22:55,320.63
55,174,40980.07,NOK,CHF,0.081689,2023-04-17 17:26:05,225.15
56,38,4547.34,USD,JPY,150.715344,2023-04-18 04:47:28,23.51
57,46,9531.61,CHF,CAD,1.546284,2023-04-18 14:19:45,46.13
58,225,51513.98,PLN,SEK,2.618874,2023-04-19 01:51:31,219.27
59,170,12367.61,GBP,PLN,5.075976,2023-04-19 07:23:25,52.6
60,6,12239.32,AUD,CAD,0.898458,2023-04-19 10:10:02,55.31
61,30,10349.04,EUR,JPY,163.185379,2023-04-19 16:25:46,53.16
62,10,12291.8,AUD,NOK,7.064428,2023-04-20 03:21:29,53.77
63,94,13466.86,CAD,SEK,7.740135,2023-04-20 10:23:10,74.92
64,149,18676.36,AUD,SEK,6.949101,2023-04-21 12:43:47,102.78
65,164,7697.89,EUR,PLN,4.328011,2023-04-22 00:17:20,38.87
66,29,109784.52,NOK,GBP,0.073826,2023-04-23 14:54:51,628.51
67,23,13401.84,USD,JPY,150.480105,2023-04-23 22:30:15,63.15
68,214,133900.34,JPY,PLN,0.026416,2023-04-24 05:27:47,593.38
69,182,4082.19,USD,PLN,4.012003,2023-04-24 06:12:41,21.83
