currency,rate_date,rate_to_eur
AUD,2024-01-20,0.612623
AUD,2024-03-12,0.612813
AUD,2024-03-26,0.608207
AUD,2024-04-25,0.611792
AUD,2024-05-01,0.612391
AUD,2024-05-25,0.60994
AUD,2024-06-15,0.612105
AUD,2024-07-20,0.608536
AUD,2024-08-20,0.608349
AUD,2024-08-28,0.607523
AUD,2024-10-17,0.61156
AUD,2024-11-21,0.608461
AUD,2024-12-02,0.608659
AUD,2024-12-09,0.607807
CAD,2024-01-12,0.67739
CAD,2024-01-16,0.682856
CAD,2024-01-22,0.681357
CAD,2024-02-13,0.680078
CAD,2024-02-21,0.678138
CAD,2024-04-11,0.678329
CAD,2024-05-04,0.68324
CAD,2024-05-15,0.681025
CAD,2024-10-02,0.682983
CAD,2024-11-10,0.677311
CHF,2024-01-11,1.051871
CHF,2024-01-15,1.054992
CHF,2024-04-05,1.054045
CHF,2024-06-04,1.053496
CHF,2024-11-11,1.053671
CHF,2024-12-25,1.051485
EUR,2024-03-18,1.0
EUR,2024-04-19,1.0
EUR,2024-06-14,1.0
EUR,2024-07-12,1.0
EUR,2024-07-15,1.0
EUR,2024-09-16,1.0
EUR,2024-09-26,1.0
EUR,2024-12-03,1.0
GBP,2024-03-25,1.164696
GBP,2024-04-26,1.167785
GBP,2024-05-22,1.168543
GBP,2024-05-24,1.170548
GBP,2024-07-25,1.168753
GBP,2024-08-02,1.171213
GBP,2024-09-12,1.171778
GBP,2024-09-18,1.170706
GBP,2024-10-14,1.174218
GBP,2024-11-06,1.174614
GBP,2024-11-12,1.167326
GBP,2024-12-23,1.171968
GBP,2024-12-25,1.16514
JPY,2024-02-22,0.00611
JPY,2024-03-19,0.006095
JPY,2024-03-22,0.006109
JPY,2024-06-19,0.00613
JPY,2024-07-28,0.006104
NOK,2024-04-15,0.085764
NOK,2024-04-27,0.086415
NOK,2024-08-06,0.085693
NOK,2024-08-27,0.085713
NOK,2024-09-17,0.086414
NOK,2024-10-05,0.086152
NOK,2024-10-13,0.086081
NOK,2024-11-22,0.085787
PLN,2024-01-24,0.230575
PLN,2024-02-15,0.228854
PLN,2024-03-22,0.229673
PLN,2024-04-25,0.229705
PLN,2024-05-11,0.228862
PLN,2024-05-16,0.230763
PLN,2024-05-18,0.230472
PLN,2024-07-11,0.229157
PLN,2024-08-13,0.230415
PLN,2024-09-03,0.229528
PLN,2024-11-21,0.230759
PLN,2024-12-15,0.22906
SEK,2024-02-01,0.087635
SEK,2024-02-28,0.087671
SEK,2024-03-05,0.087736
SEK,2024-03-08,0.088252
SEK,2024-05-10,0.08805
SEK,2024-07-03,0.087955
SEK,2024-07-10,0.088362
SEK,2024-07-28,0.087857
SEK,2024-08-23,0.088322
SEK,2024-09-04,0.088305
SEK,2024-09-12,0.08844
SEK,2024-09-21,0.088
SEK,2024-10-02,0.087722
SEK,2024-10-08,0.087674
SEK,2024-11-10,0.088079
USD,2024-01-14,0.923047
USD,2024-02-25,0.915745
USD,2024-03-18,0.916882
USD,2024-07-11,0.918996
USD,2024-09-22,0.917004
USD,2024-10-12,0.916875
USD,2024-10-15,0.921016
USD,2024-11-24,0.92276
USD,2024-12-15,0.917641
