spend_id,channel,campaign,spend_date,amount,currency,impressions,clicks
1,google_ads,gad_brand,2021-01-02 12:45:00,52648.4,EUR,413926,3638
2,google_ads,gad_generic,2021-01-07 19:16:00,56900.1,EUR,27706,172
3,google_ads,gad_retargeting,2021-01-14 09:15:00,14820.8,EUR,214689,6848
4,meta_ads,fb_prospecting,2021-01-01 16:14:00,34937.25,EUR,679081,8439
5,meta_ads,ig_lookalike,2021-01-17 18:47:00,39059.75,EUR,528629,28300
6,tiktok_ads,tt_awareness,2021-01-04 08:55:00,22313.31,EUR,148694,1619
7,tiktok_ads,tt_conversion,2021-01-07 10:36:00,2216.24,EUR,666221,35962
8,email,newsletter,2021-01-26 15:10:00,1756.18,EUR,78170,2478
9,email,winback,2021-01-12 15:17:00,2399.63,EUR,738153,31286
10,affiliate,aff_partner_a,2021-01-07 09:15:00,25201.91,EUR,544125,28015
11,affiliate,aff_partner_b,2021-01-04 16:45:00,13625.11,EUR,116850,6289
12,google_ads,gad_brand,2021-02-02 20:29:00,92934.25,EUR,389468,4174
13,google_ads,gad_generic,2021-02-04 11:30:00,84923.97,EUR,542348,13575
14,google_ads,gad_retargeting,2021-02-23 09:17:00,79368.46,EUR,527410,27919
15,meta_ads,fb_prospecting,2021-02-08 13:58:00,14283.38,EUR,558674,9297
16,meta_ads,ig_lookalike,2021-02-14 16:26:00,24853.04,EUR,615906,7519
17,tiktok_ads,tt_awareness,2021-02-26 20:07:00,24230.53,EUR,578386,5126
18,tiktok_ads,tt_conversion,2021-02-24 12:06:00,35469.77,EUR,194596,4219
19,email,newsletter,2021-02-06 10:36:00,236.78,EUR,750809,35305
20,email,winback,2021-02-13 14:36:00,1781.78,EUR,344169,13297
21,affiliate,aff_partner_a,2021-02-04 18:32:00,45824.06,EUR,341642,7050
22,affiliate,aff_partner_b,2021-02-23 20:30:00,34522.6,EUR,500634,11576
23,google_ads,gad_brand,2021-03-06 18:55:00,25908.89,EUR,549267,31596
24,google_ads,gad_generic,2021-03-22 11:11:00,18323.66,EUR,33298,845
25,google_ads,gad_retargeting,2021-03-03 14:28:00,74452.72,EUR,403073,12388
26,meta_ads,fb_prospecting,2021-03-08 12:53:00,51663.09,EUR,517782,16674
27,meta_ads,ig_lookalike,2021-03-11 18:08:00,18614.18,EUR,753120,37755
28,tiktok_ads,tt_awareness,2021-03-21 17:48:00,9913.36,EUR,322163,6900
29,tiktok_ads,tt_conversion,2021-03-15 10:58:00,32079.72,EUR,112283,5949
30,email,newsletter,2021-03-28 15:41:00,1897.43,EUR,316686,15117
31,email,winback,2021-03-03 18:54:00,1097.39,EUR,758466,14002
32,affiliate,aff_partner_a,2021-03-23 12:22:00,27817.0,EUR,43066,2189
33,affiliate,aff_partner_b,2021-03-19 11:06:00,13761.34,EUR,278438,6664
34,google_ads,gad_brand,2021-04-13 08:44:00,15235.9,EUR,208286,8037
35,google_ads,gad_generic,2021-04-16 08:11:00,43190.42,EUR,225254,10255
36,google_ads,gad_retargeting,2021-04-24 16:22:00,111732.26,EUR,372633,9028
37,meta_ads,fb_prospecting,2021-04-05 12:53:00,51463.56,EUR,462841,5410
38,meta_ads,ig_lookalike,2021-04-14 18:58:00,51702.42,EUR,342400,6098
39,tiktok_ads,tt_awareness,2021-04-06 20:02:00,34920.03,EUR,248932,1453
40,tiktok_ads,tt_conversion,2021-04-07 08:00:00,18329.53,EUR,716053,15030
41,email,newsletter,2021-04-01 09:43:00,705.66,EUR,222651,3967
42,email,winback,2021-04-01 19:54:00,207.84,EUR,158047,5896
43,affiliate,aff_partner_a,2021-04-21 18:27:00,30988.6,EUR,530972,5304
44,affiliate,aff_partner_b,2021-04-28 17:27:00,29114.69,EUR,413214,10435
45,google_ads,gad_brand,2021-05-15 19:06:00,74997.37,EUR,439742,18216
46,google_ads,gad_generic,2021-05-22 17:08:00,34282.03,EUR,56079,833
47,google_ads,gad_retargeting,2021-05-08 08:46:00,14831.11,EUR,87805,5233
48,meta_ads,fb_prospecting,2021-05-19 13:29:00,29939.93,EUR,463900,24011
49,meta_ads,ig_lookalike,2021-05-24 19:49:00,35735.32,EUR,238988,10731
50,tiktok_ads,tt_awareness,2021-05-12 10:19:00,32052.74,EUR,726255,14762
51,tiktok_ads,tt_conversion,2021-05-07 12:33:00,16838.02,EUR,736934,19181
52,email,newsletter,2021-05-09 12:18:00,739.59,EUR,256858,8244
53,email,winback,2021-05-04 16:17:00,2289.97,EUR,112054,1472
54,affiliate,aff_partner_a,2021-05-11 15:24:00,30479.88,EUR,637943,26345
55,affiliate,aff_partner_b,2021-05-16 11:15:00,27779.89,EUR,121120,5647
56,google_ads,gad_brand,2021-06-01 14:00:00,104711.64,EUR,219191,11172
57,google_ads,gad_generic,2021-06-02 20:09:00,114240.43,EUR,746749,19337
58,google_ads,gad_retargeting,2021-06-07 15:44:00,107775.25,EUR,767561,40551
59,meta_ads,fb_prospecting,2021-06-13 16:35:00,43986.81,EUR,712283,29179
60,meta_ads,ig_lookalike,2021-06-14 12:27:00,18867.15,EUR,102234,4936
61,tiktok_ads,tt_awareness,2021-06-14 17:04:00,14245.78,EUR,706132,13812
62,tiktok_ads,tt_conversion,2021-06-04 20:33:00,31024.83,EUR,177631,6642
63,email,newsletter,2021-06-04 11:44:00,155.3,EUR,337399,2045
64,email,winback,2021-06-05 17:55:00,2455.83,EUR,451530,2313
65,affiliate,aff_partner_a,2021-06-20 16:32:00,5989.03,EUR,710498,11358
66,affiliate,aff_partner_b,2021-06-07 18:33:00,46326.56,EUR,441293,22424
67,google_ads,gad_brand,2021-07-15 13:08:00,113954.74,EUR,487141,11277
68,google_ads,gad_generic,2021-07-06 16:54:00,103077.68,EUR,223564,11959
69,google_ads,gad_retargeting,2021-07-24 16:26:00,91248.89,EUR,213761,7378
70,meta_ads,fb_prospecting,2021-07-11 19:29:00,49143.34,EUR,223526,11668
71,meta_ads,ig_lookalike,2021-07-08 16:21:00,40992.49,EUR,674552,13416
72,tiktok_ads,tt_awareness,2021-07-15 18:40:00,18271.0,EUR,716910,25317
73,tiktok_ads,tt_conversion,2021-07-26 13:19:00,17739.61,EUR,160815,6366
74,email,newsletter,2021-07-20 12:25:00,1422.75,EUR,271182,2338
75,email,winback,2021-07-15 11:26:00,528.5,EUR,405546,3804
76,affiliate,aff_partner_a,2021-07-15 20:06:00,5210.17,EUR,666466,35489
77,affiliate,aff_partner_b,2021-07-24 10:06:00,19257.91,EUR,688114,34488
78,google_ads,gad_brand,2021-08-27 20:43:00,108196.35,EUR,741243,7808
79,google_ads,gad_generic,2021-08-06 14:06:00,785.8,EUR,539339,10120
80,google_ads,gad_retargeting,2021-08-28 08:55:00,52012.96,EUR,672702,29444
81,meta_ads,fb_prospecting,2021-08-03 15:58:00,3212.18,EUR,240202,8174
82,meta_ads,ig_lookalike,2021-08-06 10:39:00,31772.46,EUR,784583,39767
83,tiktok_ads,tt_awareness,2021-08-03 18:08:00,38667.49,EUR,792854,24773
84,tiktok_ads,tt_conversion,2021-08-18 10:37:00,37111.16,EUR,677709,5647
85,email,newsletter,2021-08-15 12:24:00,448.76,EUR,584256,34502
86,email,winback,2021-08-20 10:03:00,1232.85,EUR,524382,24227
87,affiliate,aff_partner_a,2021-08-27 16:37:00,32106.06,EUR,104503,1775
88,affiliate,aff_partner_b,2021-08-01 08:37:00,16132.23,EUR,127529,5940
89,google_ads,gad_brand,2021-09-12 14:03:00,7324.03,EUR,581533,11112
90,google_ads,gad_generic,2021-09-20 19:49:00,43965.61,EUR,203367,8882
91,google_ads,gad_retargeting,2021-09-24 15:14:00,68448.36,EUR,638813,37758
92,meta_ads,fb_prospecting,2021-09-05 14:23:00,11707.18,EUR,97526,5024
93,meta_ads,ig_lookalike,2021-09-07 12:00:00,5966.38,EUR,460521,18373
94,tiktok_ads,tt_awareness,2021-09-22 17:09:00,28580.55,EUR,148792,1965
95,tiktok_ads,tt_conversion,2021-09-26 09:52:00,36124.09,EUR,68434,3695
96,email,newsletter,2021-09-12 12:34:00,1603.0,EUR,710736,13347
97,email,winback,2021-09-17 08:15:00,638.05,EUR,641565,15414
98,affiliate,aff_partner_a,2021-09-26 19:21:00,31496.23,EUR,303900,8937
99,affiliate,aff_partner_b,2021-09-08 20:38:00,8327.53,EUR,510062,5923
100,google_ads,gad_brand,2021-10-09 14:06:00,105149.39,EUR,462365,6697
101,google_ads,gad_generic,2021-10-10 16:47:00,84943.13,EUR,538752,24937
102,google_ads,gad_retargeting,2021-10-20 19:08:00,65528.38,EUR,296230,11370
103,meta_ads,fb_prospecting,2021-10-15 20:29:00,22247.52,EUR,403883,15926
104,meta_ads,ig_lookalike,2021-10-17 12:20:00,14281.51,EUR,300001,17662
105,tiktok_ads,tt_awareness,2021-10-24 10:59:00,34707.0,EUR,384370,20772
106,tiktok_ads,tt_conversion,2021-10-11 14:19:00,24909.82,EUR,463395,27041
107,email,newsletter,2021-10-21 09:55:00,2463.55,EUR,400196,4596
108,email,winback,2021-10-01 20:39:00,665.65,EUR,442167,3717
109,affiliate,aff_partner_a,2021-10-26 17:33:00,2768.97,EUR,214701,9370
110,affiliate,aff_partner_b,2021-10-01 18:43:00,28858.96,EUR,789936,13601
