user_id,channel,campaign,acquired_at
1,meta_ads,fb_prospecting,2023-01-09 11:34:51
2,referral,refer_a_friend,2023-01-05 15:15:43
3,google_ads,gad_brand,2023-01-08 18:38:42
4,referral,refer_a_friend,2023-01-18 07:41:55
5,referral,refer_a_friend,2023-01-09 14:16:32
6,google_ads,gad_generic,2023-01-13 11:19:34
7,google_ads,gad_retargeting,2023-01-18 07:53:56
8,google_ads,gad_generic,2023-01-21 20:03:24
9,meta_ads,ig_lookalike,2023-01-22 06:24:47
10,meta_ads,ig_lookalike,2023-01-12 12:00:59
11,meta_ads,ig_lookalike,2023-01-09 16:46:43
12,meta_ads,ig_lookalike,2023-01-28 10:00:49
13,tiktok_ads,tt_conversion,2023-01-19 09:18:48
14,google_ads,gad_retargeting,2023-01-25 13:15:38
15,google_ads,gad_generic,2023-01-24 20:06:21
16,referral,refer_a_friend,2023-01-21 14:30:24
17,referral,refer_a_friend,2023-01-16 09:17:14
18,meta_ads,ig_lookalike,2023-01-14 20:48:01
19,google_ads,gad_retargeting,2023-01-14 04:53:43
20,referral,refer_a_friend,2023-01-24 05:35:46
21,referral,refer_a_friend,2023-01-23 10:56:20
22,meta_ads,ig_lookalike,2023-01-27 00:44:33
23,referral,refer_a_friend,2023-01-07 08:20:39
24,referral,refer_a_friend,2023-01-28 13:01:46
25,google_ads,gad_retargeting,2023-01-15 17:27:20
26,meta_ads,fb_prospecting,2023-01-25 20:11:31
27,meta_ads,ig_lookalike,2023-01-13 02:24:33
28,google_ads,gad_retargeting,2023-01-19 23:44:04
29,meta_ads,ig_lookalike,2023-01-10 21:10:37
30,affiliate,aff_partner_b,2023-01-06 02:10:26
31,organic,organic,2023-01-14 14:16:16
32,meta_ads,ig_lookalike,2023-01-23 15:26:22
33,referral,refer_a_friend,2023-01-03 14:31:13
34,google_ads,gad_brand,2023-01-02 18:34:10
35,organic,organic,2023-01-06 23:32:57
36,referral,refer_a_friend,2023-01-03 04:08:00
37,tiktok_ads,tt_conversion,2023-01-05 00:47:53
38,referral,refer_a_friend,2023-01-21 08:00:13
39,meta_ads,fb_prospecting,2023-01-16 03:36:42
40,google_ads,gad_retargeting,2023-01-04 10:12:20
41,referral,refer_a_friend,2023-01-03 09:46:01
42,referral,refer_a_friend,2023-01-08 18:42:03
43,organic,organic,2023-01-11 11:24:46
44,google_ads,gad_generic,2023-01-02 06:31:04
45,organic,organic,2023-01-16 18:06:36
46,google_ads,gad_retargeting,2023-01-20 01:54:33
47,google_ads,gad_retargeting,2023-01-03 05:41:25
48,referral,refer_a_friend,2023-01-17 13:55:10
49,meta_ads,fb_prospecting,2023-01-27 22:10:52
50,meta_ads,fb_prospecting,2023-01-18 08:10:35
51,google_ads,gad_retargeting,2023-01-26 08:34:34
52,referral,refer_a_friend,2023-01-05 02:12:26
53,google_ads,gad_brand,2023-01-07 07:09:44
54,tiktok_ads,tt_conversion,2023-02-21 17:07:03
55,google_ads,gad_brand,2023-02-25 21:16:07
56,meta_ads,ig_lookalike,2023-02-13 06:03:21
57,email,winback,2023-02-02 10:40:20
58,google_ads,gad_retargeting,2023-02-18 09:55:07
59,organic,organic,2023-02-02 08:11:15
60,referral,refer_a_friend,2023-02-06 00:17:51
61,organic,organic,2023-02-20 03:37:07
62,google_ads,gad_generic,2023-02-21 11:57:31
63,meta_ads,ig_lookalike,2023-02-17 08:56:39
64,tiktok_ads,tt_conversion,2023-02-25 10:28:11
65,referral,refer_a_friend,2023-02-22 15:17:43
66,meta_ads,ig_lookalike,2023-02-05 22:13:51
67,referral,refer_a_friend,2023-02-24 08:40:00
68,google_ads,gad_retargeting,2023-02-13 08:37:30
69,google_ads,gad_generic,2023-02-16 15:04:42
70,google_ads,gad_brand,2023-02-04 18:33:16
71,organic,organic,2023-02-16 00:46:07
72,google_ads,gad_brand,2023-02-26 11:19:46
73,tiktok_ads,tt_conversion,2023-02-21 00:18:10
74,affiliate,aff_partner_b,2023-02-23 22:17:14
75,google_ads,gad_generic,2023-02-18 18:54:32
76,google_ads,gad_brand,2023-02-02 12:53:01
77,meta_ads,fb_prospecting,2023-02-20 04:04:47
78,referral,refer_a_friend,2023-02-20 22:37:05
79,tiktok_ads,tt_conversion,2023-02-18 22:25:41
80,meta_ads,ig_lookalike,2023-02-28 14:02:21
81,tiktok_ads,tt_conversion,2023-02-12 00:44:45
82,referral,refer_a_friend,2023-02-13 05:34:33
83,google_ads,gad_generic,2023-02-01 18:47:16
84,organic,organic,2023-02-19 01:23:48
85,referral,refer_a_friend,2023-02-07 19:49:13
86,tiktok_ads,tt_conversion,2023-02-06 09:24:19
